fips,state,year,race,ent,perm,nperm,stock,invest,pop,ent_rate,perm_rate,nperm_rate,stock_rate,invest_rate,ent_rate_adj,stock_rate_adj,invest_rate_adj
10,Delaware,2000,total,950,816,70,1098,,194914,4.87394440625096,743.169398907104,63.752276867031,5.6332536400669,,4.55593740115829,5.47982807035339,
10,Delaware,2000,white,311,273,29,322,,127380,2.44151358140995,847.826086956522,90.0621118012422,2.52786936724761,,2.24791173534093,2.42817658948946,
10,Delaware,2000,black,583,491,39,692,,48714,11.9678121279304,709.537572254335,56.3583815028902,14.205361908281,,11.3476714502264,13.981781582563,
10,Delaware,2000,aapi,0,0,0,1,,4430,0,0,0,0.225733634311512,,0,0.240034186611461,
10,Delaware,2000,aian,3,2,0,1,,638,4.70219435736677,2000,0,1.56739811912226,,4.57851619591843,1.24300517920027,
10,Delaware,2000,hispanic,53,48,2,82,,13752,3.85398487492728,585.365853658537,24.390243902439,5.96276905177429,,3.52629300315864,5.83456416175952,
11,District of Columbia,2000,total,775,216,99,3054,,114503,6.76838161445552,70.7269155206287,32.4165029469548,26.6717902587705,,6.18700808821131,23.9196270544028,
11,District of Columbia,2000,white,2,1,1,7,,14236,0.140488901376791,142.857142857143,142.857142857143,0.491711154818769,,0.176225809440143,0.45362463253861,
11,District of Columbia,2000,black,650,192,87,2879,,86478,7.51636254307454,66.6898228551581,30.2188259812435,33.2917042484794,,6.9830735015331,29.4353604592129,
11,District of Columbia,2000,aapi,3,0,1,6,,2035,1.47420147420147,0,166.666666666667,2.94840294840295,,1.25056123168638,1.25052821062148,
11,District of Columbia,2000,aian,0,0,0,0,,291,0,,,0,,0,0,
11,District of Columbia,2000,hispanic,26,5,2,40,,11463,2.26816714647126,125,50,3.48948791764809,,2.23188054337582,3.54021675286642,
12,Florida,2000,total,18765,13981,1529,36608,,3654880,5.13423149323644,381.911057692308,41.7668269230769,10.0161975222169,,4.45617311451598,9.82838476333576,
