fips,state,year,race,ent,perm,nperm,stock,invest,pop,ent_rate,perm_rate,nperm_rate,stock_rate,invest_rate,ent_rate_adj,stock_rate_adj,invest_rate_adj
15,Hawaii,2005,aian,6,2,4,7,10,789,7.60456273764259,285.714285714286,571.428571428571,8.87198986058302,12.6742712294043,8.20544246756225,9.78188218533026,14.2615576629497
15,Hawaii,2005,hispanic,90,52,11,145,95,38284,2.35085153066555,358.620689655172,75.8620689655172,3.78748302162783,2.48145439348031,1.97985906625978,3.69324860456782,2.47973633388297
16,Idaho,2005,total,1722,1293,116,1818,8158,394651,4.36334888293708,711.221122112211,63.8063806380638,4.60660178233427,20.6714286800236,3.9073390860022,4.58008580246304,20.4698360193158
16,Idaho,2005,white,1303,990,80,1321,6091,323320,4.03006309538538,749.432248296745,60.560181680545,4.08573549424719,18.8389211926265,3.662070836085,4.06770792202676,18.7852600460513
16,Idaho,2005,black,14,9,2,27,56,4484,3.12221231043711,333.333333333333,74.0740740740741,6.021409455843,12.4888492417484,2.71645041753897,5.97065718513142,13.1608926534388
16,Idaho,2005,aapi,7,6,1,3,38,4808,1.45590682196339,2000,333.333333333333,0.62396006655574,7.90349417637271,1.66018900155318,0.711102553596994,8.07069263258579
16,Idaho,2005,aian,92,88,16,120,194,6061,15.1790133641313,733.333333333333,133.333333333333,19.7987130836496,32.0079194852335,13.0917203834923,20.0823526756906,32.4437484086576
16,Idaho,2005,hispanic,271,174,14,303,1004,55978,4.84118760941799,574.257425742574,46.2046204620462,5.41284075886956,17.935617564043,4.07714872286423,5.30084241751614,17.3194963845724
17,Illinois,2005,total,5747,5123,1046,19419,123706,3197318,1.79744398273803,263.813790617437,53.8647716154282,6.0735278755507,38.6905525193303,1.48135534761392,5.14183893771493,38.5323576053466
17,Illinois,2005,white,2442,2000,232,5514,63132,1831661,1.33321613551853,362.713093942691,42.0747188973522,3.01038237970891,34.4670766042406,1.13463154633716,2.73457769584669,34.6917194570027
17,Illinois,2005,black,2811,2700,754,12345,43169,590262,4.76229199914614,218.712029161604,61.077359254759,20.9144413836568,73.1353195699537,3.89222721474236,17.2774703374326,73.7928380604144
17,Illinois,2005,aapi,23,5,2,35,707,126220,0.182221517984472,142.857142857143,57.1428571428571,0.277293614324196,5.60133100934876,0.160320053421616,0.220749755766109,5.52728823408393
17,Illinois,2005,aian,4,3,2,14,118,6256,0.639386189258312,214.285714285714,142.857142857143,2.23785166240409,18.8618925831202,0.627099313336897,2.10496539725306,19.0835586973638
17,Illinois,2005,hispanic,354,314,50,1117,12446,642919,0.550613685394272,281.110116383169,44.762757385855,1.73738838018475,19.3585817186924,0.471639406555979,1.50527538451166,19.0669346926369
18,Indiana,2005,total,7541,5485,683,11243,51403,1593898,4.7311684938434,487.859112336565,60.7489104331584,7.05377633951482,32.2498679338327,4.17316681934393,6.75329989469493,32.0823080911457
18,Indiana,2005,white,4542,3448,400,6373,37046,1260083,3.60452446386468,541.032480778283,62.7647889533971,5.05760334835086,29.3996506579329,3.24636629816559,4.86183544169754,29.4282666760607
18,Indiana,2005,black,2082,1448,227,3606,8410,191640,10.8641202254227,401.552967276761,62.9506378258458,18.8165309956168,43.8843665205594,9.40067244728666,17.9225301574874,43.4923509809352
18,Indiana,2005,aapi,18,15,1,12,137,22866,0.787194961952244,1250,83.3333333333333,0.524796641301496,5.99142832152541,0.823569608956851,0.51403469454419,5.96106896315447
18,Indiana,2005,aian,11,11,1,21,50,4344,2.53222836095764,523.809523809524,47.6190476190476,4.83425414364641,11.5101289134438,2.50783117876642,4.73467687293565,11.9692724556141
18,Indiana,2005,hispanic,473,289,30,665,2524,114965,4.11429565519941,434.586466165414,45.1127819548872,5.78436915583004,21.9545078937068,3.53901852406501,5.58586140954292,21.346580714594
19,Iowa,2005,total,6781,4381,344,6794,30598,718488,9.43787509325138,644.833676773624,50.6329113924051,9.45596864526617,42.5866541960339,8.83326869830756,9.28949135735818,42.5043548626537
19,Iowa,2005,white,4851,3214,277,4934,19242,621729,7.80243482288907,651.398459667612,56.1410620186461,7.93593350157384,30.9491756054487,7.32557290153723,7.72852490615578,31.1388211501215
19,Iowa,2005,black,852,529,34,935,2521,33209,25.6556957451293,565.775401069519,36.3636363636364,28.155018217953,75.9131560721491,23.9756655556072,28.7598110996001,73.168064958808
19,Iowa,2005,aapi,93,59,6,81,321,12924,7.19591457753018,728.395061728395,74.0740740740741,6.26740947075209,24.8375116063138,7.29258953238116,6.3872150272961,24.1610142317477
19,Iowa,2005,aian,127,98,5,112,257,3191,39.7994359135067,875,44.6428571428571,35.0987151363209,80.5390159824506,36.56704496578,34.5467290119138,81.7235218695119
19,Iowa,2005,hispanic,423,273,16,378,1413,47435,8.91746600611363,722.222222222222,42.3280423280423,7.96879940971856,29.7881311268051,8.30482928306672,8.09738112798646,27.7988438354883
20,Kansas,2005,total,3117,2532,402,5833,18071,704689,4.42322783525782,434.081947539859,68.9182238985085,8.27741031859444,25.6439365450575,4.06459307335845,8.08194538198017,25.4278203594575
20,Kansas,2005,white,2263,1855,279,3903,13740,526839,4.29542991312336,475.275429157059,71.4834742505765,7.4083353738049,26.0800737986368,3.98427605389179,7.1916531475628,26.0920629084911
20,Kansas,2005,black,453,357,80,1153,2237,57043,7.94137755728135,309.627059843886,69.3842150910668,20.2128219062812,39.2160300124468,6.96570678935201,19.8896680912579,38.7799329951456
20,Kansas,2005,aapi,17,17,1,21,77,16910,1.0053222945003,809.52380952381,47.6190476190476,1.24186871673566,4.55351862803075,1.00253560204145,1.19565946528602,4.56440272041791
20,Kansas,2005,aian,32,25,3,68,147,8517,3.75719149935423,367.647058823529,44.1176470588235,7.98403193612774,17.2595984501585,3.64736674604714,7.89146512387315,17.480085485234
20,Kansas,2005,hispanic,174,148,26,333,713,95380,1.82428182008807,444.444444444444,78.0780780780781,3.49129796603061,7.47536171105054,1.84007968353715,3.75928754043517,7.43226443265619
21,Kentucky,2005,total,5950,4892,602,7220,60905,1004020,5.92617676938706,677.562326869806,83.3795013850416,7.1910918109201,60.6611422083225,5.34843057459038,6.878473461689,60.4253701647357
21,Kentucky,2005,white,4433,3775,444,5256,43874,855913,5.17926471498856,718.226788432268,84.4748858447489,6.14081104037443,51.2598827217252,4.74062969575404,5.8593349131007,51.2409923785818
21,Kentucky,2005,black,934,677,129,1372,6582,100734,9.27194393154248,493.440233236152,94.0233236151604,13.6200289872337,65.3404014533326,8.18209425358757,12.9542929569626,64.9316230779026
21,Kentucky,2005,aapi,8,7,1,9,87,11853,0.674934615709103,777.777777777778,111.111111111111,0.759301442672741,7.3399139458365,0.70653325473808,0.882507859731772,7.06930343346405
21,Kentucky,2005,aian,6,8,2,4,41,1945,3.08483290488432,2000,500,2.05655526992288,21.0796915167095,2.63202909267929,1.74563741427872,21.9694857642118
21,Kentucky,2005,hispanic,38,33,3,54,665,33575,1.13179448994788,611.111111111111,55.5555555555556,1.60833953834698,19.8064035740879,0.893397965977149,1.68419775391091,17.8206209975527
22,Louisiana,2005,total,3371,2434,328,4833,38893,1177954,2.86174162997876,503.620939375129,67.8667494309952,4.10287668279067,33.0174183372186,2.58785830117202,4.106100630638,31.6972822200722
22,Louisiana,2005,white,1628,1066,111,2197,18697,636919,2.55605500856467,485.207100591716,50.5234410559854,3.44941821487505,29.355381139517,2.3173433698614,3.44919641697572,28.1534752930044
22,Louisiana,2005,black,1630,1293,207,2490,18867,473482,3.44258071056556,519.277108433735,83.1325301204819,5.25891163761241,39.8473437216198,3.12399909908195,5.26504201742258,38.4938665124543
22,Louisiana,2005,aapi,9,4,0,11,116,17568,0.512295081967213,363.636363636364,0,0.626138433515483,6.60291438979964,0.513166381747838,0.639495051452833,6.0711175768436
22,Louisiana,2005,aian,7,7,2,15,74,8774,0.797811716434921,466.666666666667,133.333333333333,1.70959653521769,8.4340095737406,0.753184773194174,1.73250927132878,8.28379908169213
22,Louisiana,2005,hispanic,40,15,2,57,320,41211,0.97061464172187,263.157894736842,35.0877192982456,1.38312586445367,7.76491713377496,0.857099453932076,1.41836670987984,7.38857952598127
23,Maine,2005,total,716,769,225,2339,8050,292039,2.45172733778708,328.772979905943,96.1949551090209,8.00920425011728,27.5648115491424,2.16112377328144,7.88078587725667,28.2780057264839
23,Maine,2005,white,562,621,195,1998,4993,273642,2.05377829426769,310.810810810811,97.5975975975976,7.30151073300151,18.2464680129512,1.84644712286136,7.16741621949178,18.8902826209546
23,Maine,2005,black,13,17,4,38,148,6526,1.99203187250996,447.368421052632,105.263157894737,5.82286239656758,22.6785167024211,1.51103536354418,6.51063143119548,21.0808431202837
23,Maine,2005,aapi,7,6,0,11,47,3751,1.86616902159424,545.454545454545,0,2.93255131964809,12.5299920021328,1.13917012303864,3.00870064313495,12.9014979234299
23,Maine,2005,aian,12,7,2,32,77,2656,4.51807228915663,218.75,62.5,12.0481927710843,28.9909638554217,3.89847996835105,12.4867833979804,29.6539413772595
23,Maine,2005,hispanic,35,37,2,73,49,5464,6.40556368960469,506.849315068493,27.3972602739726,13.3601756954612,8.96778916544656,5.58765547920537,13.9391013734687,8.49689655973265
24,Maryland,2005,total,3353,1649,233,10867,24908,1382966,2.42449922846983,151.743811539523,21.4410600901813,7.8577492143697,18.0105656972044,2.03106468773752,6.81672483490573,18.0551021704253
24,Maryland,2005,white,954,451,64,2352,9125,731162,1.30477240337983,191.751700680272,27.2108843537415,3.21679737185466,12.4801343614685,1.10420593133126,2.84729124680252,12.5473183738589
24,Maryland,2005,black,2136,1094,157,7994,12666,467504,4.56894486464287,136.85263947961,19.639729797348,17.0993189363086,27.0928163181492,3.81053558363537,14.6281635245721,27.2305643896278
24,Maryland,2005,aapi,16,7,1,36,221,69493,0.230239016879398,194.444444444444,27.7777777777778,0.518037787978645,3.18017642064668,0.226134309414752,0.366793488698709,3.21544563805974
24,Maryland,2005,aian,6,1,1,22,41,4214,1.42382534409112,45.4545454545455,45.4545454545455,5.22069292833413,9.72947318462269,1.12173536208643,4.74432010594967,10.0628706924707
24,Maryland,2005,hispanic,111,39,10,196,1328,110593,1.00368016058883,198.979591836735,51.0204081632653,1.77226406734603,12.0079932726303,0.931834870806453,1.70958589347904,12.2260044450077
25,Massachusetts,2005,total,6252,5461,868,12197,65968,1464140,4.27008346196402,447.733049110437,71.1650405837501,8.33048752168508,45.0558006747989,3.8844579807027,7.41151770282382,44.5453438689919
25,Massachusetts,2005,white,3125,2710,454,6048,24369,1080525,2.89211263043428,448.082010582011,75.0661375661376,5.59727910043729,22.552925661137,2.62847775327267,4.93564812361535,22.4942766742272
25,Massachusetts,2005,black,974,811,160,2124,7983,120400,8.08970099667774,381.826741996234,75.3295668549906,17.641196013289,66.3039867109635,7.31589291309886,14.8229457233419,66.1081016895529
25,Massachusetts,2005,aapi,139,151,12,202,1116,76213,1.82383582853319,747.524752475248,59.4059405940594,2.65046645585399,14.6431711125399,1.92263431286421,2.48231303424418,14.7130045501794
25,Massachusetts,2005,aian,10,2,3,27,59,3931,2.54388196387688,74.0740740740741,111.111111111111,6.86848130246757,15.0089035868736,2.10554950853808,6.47323271057531,15.3665729268
25,Massachusetts,2005,hispanic,1526,1356,197,3013,11972,183071,8.33556379765228,450.049784268171,65.3833388649187,16.4580954930054,65.3953930442287,7.66656647305277,15.3828606911981,65.0565489143124
26,Michigan,2005,total,9296,8469,1002,20498,133834,2531839,3.67163946838642,413.162259732657,48.8828178358864,8.0960914181352,52.8603912018102,3.24769177230874,7.74549968045118,52.9854991417453
26,Michigan,2005,white,4412,3836,440,8407,78621,1824015,2.41883975734849,456.286427976686,52.3373379326752,4.60906297371458,43.1032639534214,2.18691440606052,4.43260609722599,43.4442552059603
26,Michigan,2005,black,3838,3783,482,10068,46869,468708,8.18846701997832,375.744934445769,47.8744537147398,21.4803246370875,99.9961596559052,7.03381399932772,20.4543053712789,100.606840767922
26,Michigan,2005,aapi,54,25,1,88,679,66187,0.815870185988185,284.090909090909,11.3636363636364,1.32956622901778,10.258812153444,0.77684074100234,1.32765839821593,10.1248203057477
26,Michigan,2005,aian,128,94,11,230,853,20667,6.19344849276625,408.695652173913,47.8260869565218,11.1288527604394,41.2735278463251,5.87781611811076,10.9759392334619,41.8204171034558
26,Michigan,2005,hispanic,492,419,39,883,4844,152262,3.23127241202664,474.518686296716,44.1676104190261,5.7992145118283,31.8135844793842,3.01427055231215,5.76793102833873,31.3545913041933
27,Minnesota,2005,total,8196,6357,979,6989,24669,1280557,6.40033985211123,909.572184861926,140.077264272428,5.45778126237255,19.26427328108,5.93431190637633,5.38273257909065,19.2019230180168
27,Minnesota,2005,white,4206,3251,541,3491,12640,1016226,4.1388431313507,931.251790317961,154.969922658264,3.43525947968267,12.4381781217957,3.84088403601804,3.35922065836339,12.5116668933388
27,Minnesota,2005,black,1547,1310,192,1353,4764,96606,16.0134981264104,968.218773096822,141.906873614191,14.0053412831501,49.3137072231539,15.3840170005704,14.5065936085059,48.6588069330221
27,Minnesota,2005,aapi,208,184,17,104,655,65812,3.16051783869203,1769.23076923077,163.461538461538,1.58025891934602,9.95259223241962,3.05242549814328,1.57408957955647,9.85971572353294
27,Minnesota,2005,aian,842,551,105,852,1408,21330,39.4749179559306,646.713615023474,123.239436619718,39.943741209564,66.01031411158,35.2696461658657,39.1042248946343,65.8125703132739
27,Minnesota,2005,hispanic,686,504,55,585,2411,80583,8.51296179094846,861.538461538462,94.017094017094,7.25959569636276,29.9194619212489,8.48528661280658,8.0167758402028,28.8160553693233
28,Mississippi,2005,total,2048,1530,112,3269,21514,760870,2.69165560476823,468.033037626185,34.2612419700214,4.29639754491569,28.275526699699,2.4015653505916,4.08548246755269,28.1131356624576
28,Mississippi,2005,white,992,785,51,1465,8626,392600,2.52674477840041,535.836177474403,34.8122866894198,3.73153336729496,21.9714722363729,2.24304350593646,3.58731721362202,21.8813363769024
28,Mississippi,2005,black,941,656,59,1659,8336,338240,2.78204824976348,395.418927064497,35.5635925256178,4.90480132450331,24.6452223273415,2.51251584087264,4.61107535517711,24.5621972042003
28,Mississippi,2005,aapi,4,10,0,4,37,6449,0.620251201736703,2500,0,0.620251201736703,5.73732361606451,0.48905704741455,0.643092291596862,5.74623475066525
28,Mississippi,2005,aian,2,0,0,4,20,4419,0.452591083955646,0,0,0.905182167911292,4.52591083955646,0.191617916902648,0.830069942033009,4.28680422714271
28,Mississippi,2005,hispanic,46,26,1,56,188,19162,2.40058449013673,464.285714285714,17.8571428571429,2.92245068364471,9.81108443795011,2.13907745153217,2.84852938858909,9.26446397577478
29,Missouri,2005,total,6451,5624,589,11433,63193,1422978,4.53345027119183,491.909385113269,51.5175369544302,8.03455851039159,44.4089789160479,4.02651841402643,7.45360527713268,43.6904476135985
29,Missouri,2005,white,4567,4007,357,7395,47024,1109503,4.11625745942102,541.85260311021,48.2758620689655,6.66514646648094,42.3829408302636,3.70397225518844,6.27481496983274,42.0494713106928
29,Missouri,2005,black,1548,1340,208,3579,13009,220378,7.02429462106018,374.406258731489,58.1167924001118,16.2402780676837,59.0303932334444,6.08592518055439,14.5233682963991,57.3339512357234
29,Missouri,2005,aapi,19,13,1,24,230,23345,0.813878774898265,541.666666666667,41.6666666666667,1.02805739987149,9.85221674876847,0.799595269528728,0.9564423221638,9.20051544139708
29,Missouri,2005,aian,25,28,6,53,192,7857,3.18187603410971,528.301886792453,113.207547169811,6.74557719231259,24.4368079419626,2.80761989970709,5.89135437380315,24.9881136277866
29,Missouri,2005,hispanic,210,169,13,278,1734,61895,3.39284271750545,607.913669064748,46.7625899280576,4.4914775022215,28.0151870102593,2.65214902932494,4.29978602257108,26.8451959978481
30,Montana,2005,total,1432,990,114,2222,10632,221685,6.45961612197487,445.544554455446,51.3051305130513,10.0232311613325,47.9599431625956,5.72157870778189,9.92653498310834,44.8072881406181
30,Montana,2005,white,731,529,61,1161,4798,185337,3.94416657224407,455.641688199828,52.5409130060293,6.26426455591706,25.8879770364255,3.50523501159146,6.17257182614705,25.1003421528987
30,Montana,2005,black,15,12,2,26,64,2319,6.46830530401035,461.538461538462,76.9230769230769,11.2117291936179,27.5981026304442,5.38342341034468,10.3528440247361,27.8482424725645
30,Montana,2005,aapi,10,9,0,5,20,1725,5.79710144927536,1800,0,2.89855072463768,11.5942028985507,5.70242736370541,2.76599308959511,11.6685487981211
30,Montana,2005,aian,468,302,37,746,1449,22803,20.5236153137745,404.825737265416,49.597855227882,32.7149936411876,63.5442704907249,17.9840638517331,32.1681433652034,60.5249784311227
30,Montana,2005,hispanic,70,68,5,105,294,9501,7.36764551099884,647.619047619048,47.6190476190476,11.0514682664983,30.9441111461951,5.45244791646532,10.5242128074532,28.3390439033109
31,Nebraska,2005,total,3942,3115,236,6231,26479,448918,8.78111370005213,499.919756058418,37.8751404268978,13.8800404528221,58.9840460841401,8.10586673478771,13.1271414417741,56.4678135675019
31,Nebraska,2005,white,2433,1993,151,3883,16010,351757,6.91670670377562,513.262941024981,38.8874581509142,11.0388705839543,45.5143749804553,6.35542532456962,10.2915361984377,45.3030971268016
31,Nebraska,2005,black,499,370,38,948,3436,29570,16.8752113628678,390.295358649789,40.084388185654,32.0595197835644,116.198850185999,15.7846198675537,31.0239258154272,114.013074003975
31,Nebraska,2005,aapi,22,22,1,21,209,8407,2.61686689663376,1047.61904761905,47.6190476190476,2.49791840133222,24.8602355180207,2.79354286660107,2.34503417709978,23.167866800896
31,Nebraska,2005,aian,390,247,19,560,1147,5870,66.4395229982964,441.071428571429,33.9285714285714,95.4003407155026,195.400340715503,62.1989029660763,93.0534085250715,192.587600901912
31,Nebraska,2005,hispanic,429,360,16,608,2552,53314,8.04666691675732,592.105263157895,26.3157894736842,11.4041339985745,47.8673519150692,8.21514321017395,12.2218244404201,46.0655922560447
32,Nevada,2005,total,3648,2827,237,4656,24073,611595,5.96473156255365,607.1735395189,50.9020618556701,7.61288107325927,39.3610150508098,4.93148686711247,7.3981302684149,38.8137770134469
32,Nevada,2005,white,1680,1369,122,2332,12016,294714,5.70044178423828,587.04974271012,52.3156089193825,7.91275609574028,40.7717312377424,4.68156247556602,7.81282557508819,40.7162828917806
32,Nevada,2005,black,733,580,62,1006,3831,60155,12.1851882636522,576.540755467197,61.6302186878728,16.7234643836755,63.6854791787881,10.6045222803091,16.27681911674,63.3245243744214
32,Nevada,2005,aapi,74,65,8,67,416,37275,1.98524480214621,970.149253731343,119.402985074627,1.79745137491616,11.1602951039571,1.64300970095306,1.70366210973689,11.1457062363547
32,Nevada,2005,aian,18,11,5,28,122,7189,2.50382528863542,392.857142857143,178.571428571429,3.89483933787731,16.9703714007512,2.29593313090284,3.94035259652379,17.3006966601964
32,Nevada,2005,hispanic,889,603,29,958,5163,212262,4.18822021840932,629.436325678497,30.2713987473904,4.51329017911826,24.3237131469599,3.37723324284092,4.26935718264556,23.4276599852631
33,New Hampshire,2005,total,548,413,125,1178,8079,307403,1.78267616126063,350.594227504245,106.112054329372,3.83210313497266,26.2814611438405,1.62915271239534,3.59628180954504,26.4682563458844
33,New Hampshire,2005,white,425,324,88,952,6740,282740,1.50314776826767,340.336134453782,92.436974789916,3.36705100091957,23.8381551955861,1.39654305079812,3.12933087565927,24.0824422247416
33,New Hampshire,2005,black,21,14,6,48,189,5293,3.96750425089741,291.666666666667,125,9.06858114490837,35.7075382580767,3.87452910874919,11.0032832567273,34.8985958778218
33,New Hampshire,2005,aapi,2,1,1,3,56,7021,0.284859706594502,333.333333333333,333.333333333333,0.427289559891753,7.97607178464606,0.388816493418192,0.388295123776836,8.17217816349971
33,New Hampshire,2005,aian,1,1,0,2,16,944,1.05932203389831,500,0,2.11864406779661,16.9491525423729,0.825106349818399,2.38362596142357,20.5738304326874
33,New Hampshire,2005,hispanic,37,25,4,69,387,11405,3.24419114423498,362.31884057971,57.9710144927536,6.04997807978957,33.9324857518632,2.70169828485059,6.01133136639751,33.309667606925
34,New Jersey,2005,total,5811,5904,959,11205,50407,2121878,2.73861173922346,526.907630522088,85.586791610888,5.28069945585939,23.7558427016068,2.2790928454774,5.12570966097793,23.5989285070395
34,New Jersey,2005,white,1715,1705,216,2707,18197,1214884,1.41165740926706,629.848540820096,79.7931289250093,2.22819627223669,14.9783847675992,1.23080240308288,2.15463769575878,14.8587923642057
34,New Jersey,2005,black,2583,2934,571,6411,15935,334166,7.7296912313042,457.650912494151,89.0656683824676,19.185075680949,47.6858806700861,6.44441963131372,18.8237618454306,47.6383783168793
34,New Jersey,2005,aapi,24,20,3,31,378,164649,0.145764626569247,645.161290322581,96.7741935483871,0.188279309318611,2.29579286846565,0.136174577339654,0.192634313133018,2.29718386810776
34,New Jersey,2005,aian,11,8,1,20,68,4483,2.45371403078296,400,50,4.4612982377872,15.1684140084765,2.08733908581205,4.32019516343955,15.1228712675608
34,New Jersey,2005,hispanic,419,386,88,747,3045,403696,1.03790971424042,516.733601070951,117.804551539491,1.85040228290595,7.54280448654433,0.941231466522547,1.81421399267746,7.63023213187011
35,New Mexico,2005,total,2241,1886,149,2316,27100,502612,4.45870771091816,814.33506044905,64.3350604490501,4.60792818317111,53.9183306407328,4.03319407181681,4.60089585496948,47.4798938563129
35,New Mexico,2005,white,534,509,33,654,6547,153158,3.48659554185873,778.2874617737,50.4587155963303,4.27010015800676,42.7467060160096,3.27636467409851,4.2775695171592,41.1177301872309
35,New Mexico,2005,black,76,67,9,103,642,11425,6.65207877461707,650.485436893204,87.378640776699,9.01531728665208,56.1925601750547,6.03970221259435,9.0401970829902,53.9447649678693
35,New Mexico,2005,aapi,5,7,0,2,63,5766,0.867152271938953,3500,0,0.346860908775581,10.9261186264308,0.897264425229989,0.357629160209619,9.97557303808833
35,New Mexico,2005,aian,204,150,28,135,1478,58975,3.45909283594744,1111.11111111111,207.407407407407,2.28910555320051,25.0614667231878,3.29988537390843,2.33996439275018,24.1723471962633
35,New Mexico,2005,hispanic,1231,986,69,1336,12569,273288,4.50440560873511,738.023952095809,51.6467065868264,4.8886156728433,45.9917742454846,3.99264044525255,4.8609317257311,43.9693535491896
36,New York,2005,total,11283,12275,2289,30458,188180,4514456,2.4993044566167,403.013986473176,75.1526692494583,6.74677081801218,41.6838706590562,2.2315986149401,5.9288853559031,41.5620164429067
36,New York,2005,white,3222,3120,399,6026,76793,2468650,1.30516679156624,517.756388981082,66.213076667773,2.44101026877038,31.1072853583943,1.18178662027641,2.2373528754591,31.1019652505284
36,New York,2005,black,4659,5094,1027,14567,48588,809644,5.75438093779488,349.694514999657,70.5018191803391,17.9918581500017,60.0115606365267,5.05339904734961,15.5937086946846,60.0166972781967
36,New York,2005,aapi,53,62,16,138,2196,289278,0.183214762270204,449.275362318841,115.942028985507,0.477049758363927,7.59131354613901,0.179925261807502,0.415702671138255,7.62421848509701
36,New York,2005,aian,52,50,2,84,609,20788,2.50144314027324,595.238095238095,23.8095238095238,4.04079276505676,29.2957475466615,2.38817291830116,3.82249080584248,29.8090997257023
36,New York,2005,hispanic,2037,2163,411,5958,35207,926096,2.19955598555657,363.041289023162,68.9828801611279,6.43345830237902,38.0165771151155,1.9971489514531,5.76909099284579,37.9487682050884
37,North Carolina,2005,total,6529,4902,579,10698,113096,2122485,3.07611125638108,458.216489063376,54.122265844083,5.04031830613644,53.284711081586,2.68621808187567,4.91318988789504,52.8791894969433
37,North Carolina,2005,white,3198,2285,266,4906,57139,1282264,2.49402619117436,465.756216877293,54.2193232776192,3.82604518258331,44.561026434494,2.23296735450399,3.75579685217301,44.4781757317656
37,North Carolina,2005,black,2354,1844,254,4459,38501,551637,4.26729896653053,413.545638035434,56.9634447185468,8.08321414263365,69.794085603395,3.75138616055947,7.83283100752409,70.3163327753619
37,North Carolina,2005,aapi,60,50,6,55,1105,47592,1.26071608673727,909.090909090909,109.090909090909,1.15565641284249,23.2181879307447,1.08855028123157,1.04042893522992,22.7849277286962
37,North Carolina,2005,aian,118,158,8,161,2053,31191,3.78314257317816,981.366459627329,49.6894409937888,5.16174537526851,65.8202686672438,3.30751512504443,5.10235951984477,65.5799930039744
37,North Carolina,2005,hispanic,574,410,39,754,10506,209801,2.73592594887536,543.766578249337,51.7241379310345,3.59388182134499,50.0760244231438,2.23861061767446,3.43206108147184,48.3921363356862
38,North Dakota,2005,total,1098,618,267,1370,,148119,7.41295849958479,451.094890510949,194.890510948905,9.24931980367137,,6.59277246432856,9.02217083771533,
38,North Dakota,2005,white,643,382,154,794,,126495,5.0832048697577,481.108312342569,193.954659949622,6.27692794181588,,4.42330588088811,6.03823090428086,
38,North Dakota,2005,black,24,16,2,40,,2882,8.32755031228314,400,50,13.8792505204719,,7.83532915546701,14.8435855371767,
38,North Dakota,2005,aapi,11,9,4,21,,1337,8.22737471952132,428.571428571429,190.47619047619,15.7068062827225,,6.35876858830505,15.096115101646,
38,North Dakota,2005,aian,280,147,89,361,,13373,20.9377103118223,407.202216066482,246.537396121884,26.9946907948852,,19.6572709182903,27.3040401347106,
38,North Dakota,2005,hispanic,82,45,9,76,,4032,20.3373015873016,592.105263157895,118.421052631579,18.8492063492064,,17.2299683715135,18.3702863048909,
39,Ohio,2005,total,12311,10431,1328,17446,95613,2819794,4.36592176591623,597.902097902098,76.1206007107647,6.18697677915479,33.9077961014173,3.86811466172211,5.88545266578106,33.6656444580323
39,Ohio,2005,white,6774,5656,647,8953,58696,2207528,3.06859074947181,631.743549648163,72.2662794593991,4.05566769708017,26.5890172174487,2.7477036230557,3.87412850523886,26.5066754382772
39,Ohio,2005,black,4527,3979,609,7189,28049,452172,10.0116769724795,553.484490193351,84.7127555988316,15.8988172642269,62.0317047495201,8.79861907161247,15.0676652900621,61.7846729238985
39,Ohio,2005,aapi,42,33,1,24,267,46385,0.905465128813194,1375,41.6666666666667,0.517408645036111,5.75617117602673,0.872850549471832,0.499944214916763,5.66932026595879
39,Ohio,2005,aian,18,9,1,28,298,7031,2.56009102545868,321.428571428571,35.7142857142857,3.98236381738017,42.3837291992604,2.37861907592643,3.7558166836148,43.7966636265148
39,Ohio,2005,hispanic,420,359,30,542,943,106678,3.93708168507096,662.361623616236,55.3505535055351,5.08071017454395,8.83968578338552,3.30142669098694,4.92999366568231,8.63405757884969
40,Oklahoma,2005,total,7108,5487,593,11334,53460,885316,8.02877164763768,484.118581259926,52.3204517381331,12.8022084769732,60.3852183852997,6.90231169553988,12.711136281703,59.7694644912777
40,Oklahoma,2005,white,2919,2508,256,4586,28201,568123,5.13797188284931,546.881814217183,55.8220671609246,8.072195633692,49.638898618785,4.46421281819534,8.04535343691341,49.676482057096
40,Oklahoma,2005,black,1105,802,88,1772,5495,92528,11.9423309700847,452.595936794582,49.6613995485327,19.1509597094933,59.3874286702404,10.2895485010333,19.0771088439456,58.8364805963788
40,Oklahoma,2005,aapi,20,16,3,12,154,15416,1.29735339906591,1333.33333333333,250,0.778412039439543,9.98962117280747,1.21856158190799,0.790487457152022,9.76240028764003
40,Oklahoma,2005,aian,624,492,89,1075,3644,110788,5.63237895800989,457.674418604651,82.7906976744186,9.70321695490486,32.891648915045,4.58633038275193,9.90754619948808,33.4557025214709
40,Oklahoma,2005,hispanic,960,663,56,1473,6198,98461,9.7500533206041,450.10183299389,38.0176510522743,14.9602380638019,62.9487817511502,7.82110822082027,14.454599889303,59.0804948933482
41,Oregon,2005,total,6197,4466,456,11020,,849323,7.2963996029779,405.263157894737,41.3793103448276,12.9750401201898,,6.40687034589227,12.6274643288361,
41,Oregon,2005,white,3359,2463,272,6148,,628281,5.34633388563398,400.618087182824,44.242029928432,9.78543040454828,,4.87754398756863,9.54021579175769,
41,Oregon,2005,black,332,220,57,711,,25275,13.135509396637,309.423347398031,80.168776371308,28.1305637982196,,11.6865047798343,26.8588010914872,
41,Oregon,2005,aapi,55,44,1,100,,37129,1.48132187777748,440,10,2.69331250504996,,1.25872049391219,2.60205170476831,
